Category,Item,Price,Description/Notes
Pizzas (Standard),Herb & Garlic,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Margherita,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Pepperoni,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Hawaiian,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Capricciosa,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Meat & Cheese,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Mushroom,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Vegetarian,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Big Cheese,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Chicken Pineapple,$12.00,"Medium $12, Large $14"
Pizzas (Standard),Mexicana,$12.00,"Medium $12, Large $14"
Dessert,Nutella Pizza,$12.00,
Dessert,Strawberry Calzone,$12.00,
Drinks,Shakes,$7.00,
Drinks,Energy Drink,$4.50,
Drinks,Cold Drinks,$3.50,
Gourmet Pizzas,BBQ Chicken,$16.00,
Gourmet Pizzas,Peri Peri Chicken,$16.00,
Gourmet Pizzas,Tandoori Chicken,$16.00,
Gourmet Pizzas,Gourmet Meats,$16.00,
Gourmet Pizzas,Mediterranean Lamb,$16.00,
Gourmet Pizzas,Tandoori Pannier,$16.00,
Gourmet Pizzas,Gourmet Vegetarian,$16.00,
Gourmet Pizzas,Potato & Pumpkin,$16.00,
Gourmet Pizzas,Roast Vegetable,$16.00,
Gourmet Pizzas,Corn Pizza,$16.00,
Gourmet Pizzas,Classic Farmhouse,$16.00,
Gourmet Pizzas,Butter Chicken,$16.00,
Parmas,Pepperoni,$14.00,
Parmas,Tropical,$14.00,
Parmas,Mexican,$14.00,
Parmas,Meat Lover,$14.00,
Parmas,Mushroom Sauce Parma,$23.00,
Burgers Grill,Grilled Chicken Burger,$14.00,
Burgers Grill,Crispy Chicken Burger,$14.00,
Burgers Grill,Hot Flame Chicken Burger,$14.00,
Burgers Grill,Lamb Burger,$14.00,
Burgers Grill,Beef Burger,$14.00,
Burgers Grill,Veggie Burger,$14.00,
Burgers Grill,Vegan Burger,$14.00,
Burgers Grill,Kids Cheese Burger,$10.00,
Soya Chaap,Tandoori Chaap,$14.00,
Soya Chaap,Malai Chaap,$14.00,
Fish & Chips,Fried Fish Flake,$14.00,
Fish & Chips,Grilled Fish Flake,$14.00,
Perfect Pastas,Napoli,$15.00,
Perfect Pastas,Tandoori Veg,$15.00,
Perfect Pastas,Mushroom,$15.00,
Perfect Pastas,Pesto,$15.00,
Perfect Pastas,Veggie,$15.00,
Perfect Pastas,Chicken,$15.00,
Perfect Pastas,Tandoori Chicken,$15.00,
Calzones,BBQ Chicken,$12.00,
Calzones,Mediterranean Lamb,$12.00,
Calzones,Tandoori Calzones,$12.00,
Calzones,Mexican,$12.00,Price listed as $12 and $14
Calzones,Vegetarian/Vegan,$12.00,
Calzones,Meat Lover,$14.00,
Nitro Sides,Chicken Wings with Fries,$14.00,
Nitro Sides,Steak Cut Hot Chips,$10.00,
Nitro Sides,Seasoned Wedges,$10.00,
Nitro Sides,Sweet Potato Chips,$10.00,
Nitro Sides,Chicken Tenders,$10.00,
Nitro Sides,Cheesy Garlic Bread,$10.00,
Nitro Sides,Greek Salad,$10.00,
Nitro Sides,Chicken Schnitzel,$10.00,
